closetime,mc,cs,volume,,
10/22/2011,28796516.56,7494916,205440.4521,,
10/23/2011,26956803.84,7578501,287080.6458,,
10/24/2011,19182163.10,7493091,132507.4183,,
10/25/2011,18372787.34,7595168,76200.85384,,
10/26/2011,17167158.75,7562625,87910.79044,,
10/27/2011,17818486.72,7588761,76975.87545,,
10/28/2011,19247053.82,7489126,64183.90109,,
10/29/2011,23822292.36,7541564,128122.9058,,
10/30/2011,24187911.52,7630256,169864.0838,,
10/31/2011,19158558.95,7527921,44239.30728,,
11/1/2011,20793295.85,7506605,67920.52191,,
11/2/2011,20835030.31,7513480,172507.4053,,
11/3/2011,22912932.33,7537124,160664.0844,,
11/4/2011,24463959.94,7668977,110640.6651,,
11/5/2011,27255880.16,7610972,162206.9415,,
11/6/2011,24650195.22,7538286,69075.33038,,
11/7/2011,24767862.66,7625550,32031.4001,,
11/8/2011,24245688.60,7697044,1196451.727,,
11/9/2011,25020231.17,7688384,252457.3293,,
11/10/2011,23972082.11,7605356,141891.6013,,
11/11/2011,23689768.55,7619739,376411.3829,,
11/12/2011,22904036.88,7711745,295667.3536,,
11/13/2011,22709085.01,7673051,236074.4645,,
11/14/2011,23154871.17,7700912,243775.35,,
11/15/2011,23346259.02,7692317,132372.2942,,
11/16/2011,22705575.02,7696779,103454.0962,,
11/17/2011,21622656.19,7613799,117259.5265,,
11/18/2011,23868996.42,7749649,274223.1257,,
11/19/2011,23339835.40,7700400,137464.0833,,
11/20/2011,22879012.21,7634328,109893.0355,,
11/21/2011,17081048.52,7694166,51948.58886,,
11/22/2011,18005792.96,7731259,99582.33575,,
11/23/2011,19908848.90,7775831,464963.4743,,
11/24/2011,17256129.75,7669391,272617.7989,,
11/25/2011,15826334.85,7720201,134943.2444,,
11/26/2011,16883906.02,7689007,128661.012,,
11/27/2011,17136308.20,7789231,273051.2993,,
11/28/2011,17760342.99,7742085,220099.9864,,
11/29/2011,18223789.22,7825063,73828.90322,,
11/30/2011,17985017.45,7711974,133201.9285,,
12/1/2011,18827457.64,7741235,144148.9929,,
12/2/2011,19531879.78,7793673,103416.7415,,
12/3/2011,19286722.90,7808295,87478.54825,,
12/4/2011,19303351.61,7783892,187273.5341,,
12/5/2011,20100076.65,7882383,281600.9221,,
12/6/2011,21561849.87,7840131,113773.5903,,
12/7/2011,23390357.25,7875276,99507.43881,,
12/8/2011,24022897.20,7850620,226097.5695,,
12/9/2011,24185253.24,7763877,95952.16149,,
12/10/2011,21960012.98,7859704,87207.29872,,
12/11/2011,22316135.79,7890886,48287.25967,,
12/12/2011,22556848.48,7832783,33073.72054,,
12/13/2011,24032251.08,7931436,430077.3138,,
12/14/2011,23629776.94,7902909,562261.3543,,
12/15/2011,23421757.00,7859650,149427.2265,,
12/16/2011,23503482.15,7913657,172685.93,,
12/17/2011,24063258.65,7889593,64348.89254,,
12/18/2011,25901939.59,7967131,50878.69571,,
12/19/2011,24590338.08,7843808,228450.8474,,
12/20/2011,25677879.14,7901129,291075.3393,,
12/21/2011,25054284.15,7953741,99619.70473,,
12/22/2011,25521430.40,7975447,111183.6662,,
12/23/2011,25346076.80,7920649,172698.6803,,
12/24/2011,25423421.66,7944571,133681.7866,,
12/25/2011,25351593.01,7939741,393441.4376,,
12/26/2011,28151606.15,7997161,387868.9457,,
12/27/2011,31384499.85,7945443,275866.3975,,
12/28/2011,31353800.67,8060103,493325.963,,
12/29/2011,30825545.30,7924101,516577.3146,,
12/30/2011,31649552.46,8019082,733058.1984,,
12/31/2011,31312901.78,7947437,872554.1735,,
1/1/2012,33515273.03,7932609,207695.6139,,
1/2/2012,32392895.01,8061945,239878.414,,
1/3/2012,32452475.59,7973640,610253.9958,,
1/4/2012,33340935.69,7965781,464779.6163,,
1/5/2012,33778502.91,8108138,420691.6556,,
1/6/2012,34415040.31,8101469,600975.2905,,
1/7/2012,37747332.07,7993895,289323.7785,,
1/8/2012,42474617.52,8063280,755692.0272,,
1/9/2012,42119760.04,8073900,327979.047,,
1/10/2012,39429669.70,8078526,606300.2826,,
1/11/2012,44994313.49,8072423,1195903.582,,
1/12/2012,55895825.03,8045343,1582309.197,,
1/13/2012,53724895.39,8022317,774075.1129,,
1/14/2012,55295647.32,8119772,460290.1833,,
1/15/2012,57336621.43,8060164,463991.2926,,
1/16/2012,51812543.56,8190800,286647.7072,,
1/17/2012,51719265.60,8131960,118705.1341,,
1/18/2012,56019858.00,8118820,249248.4831,,
1/19/2012,55918112.97,8223264,912196.4451,,
1/20/2012,51979093.83,8109063,799216.0552,,
1/21/2012,54813334.70,8120482,791957.507,,
1/22/2012,57208311.87,8170550,634801.7076,,
1/23/2012,54268767.01,8120979,315674.7716,,
1/24/2012,45410529.02,8109052,240159.2168,,
1/25/2012,48306057.44,8159807,291944.076,,
1/26/2012,52527680.66,8259342,743686.395,,
1/27/2012,53365179.74,8222944,363822.2533,,
1/28/2012,50299180.68,8139026,375049.7712,,
1/29/2012,51583419.09,8175257,133960.3865,,
1/30/2012,52183700.69,8210148,772443.724,,
1/31/2012,52262297.78,8309082,572458.4332,,
2/1/2012,47448264.00,8251872,424448.1023,,
2/2/2012,44297008.80,8295320,1279281.447,,
2/3/2012,43490431.12,8218162,482893.1327,,
2/4/2012,46843198.10,8325208,228980.4311,,
2/5/2012,44127431.82,8200753,381869.7918,,
2/6/2012,45829915.04,8347160,457025.1721,,
2/7/2012,45161752.55,8235500,939910.9843,,
2/8/2012,50432356.66,8300789,1820230.941,,
2/9/2012,50891842.50,8342925,994197.911,,
2/10/2012,49392728.40,8288344,1000607.397,,
2/11/2012,48646742.71,8282510,807383.6733,,
2/12/2012,47223955.26,8301201,405611.637,,
2/13/2012,45852853.01,8408045,344823.0672,,
2/14/2012,47354535.66,8322414,223235.6389,,
2/15/2012,47096263.00,8410077,299592.1376,,
2/16/2012,48335742.95,8290865,615707.2085,,
2/17/2012,49707955.45,8407123,985904.0321,,
2/18/2012,46663394.00,8332005,514039.1104,,
2/19/2012,46028668.16,8346571,479065.8247,,
2/20/2012,43948462.46,8355221,375773.2389,,
2/21/2012,37676939.09,8442217,139186.9039,,
2/22/2012,36304582.32,8393929,278215.3612,,
2/23/2012,36255275.73,8482949,124208.9056,,
2/24/2012,36800616.51,8344811,204734.3844,,
2/25/2012,35263063.48,8352198,557837.6666,,
2/26/2012,36844971.78,8399265,180396.6097,,
2/27/2012,36994117.43,8482049,260514.6414,,
2/28/2012,36287705.14,8494313,294024.8915,,
2/29/2012,37044949.82,8372232,207028.4001,,
3/1/2012,42329859.75,8440650,243179.3023,,
3/2/2012,42833513.06,8517641,298644.6564,,
3/3/2012,40390679.42,8462290,165587.8206,,
3/4/2012,41572304.68,8446222,146935.8719,,
3/5/2012,41773048.48,8428817,220132.3776,,
3/6/2012,41076823.32,8438166,119887.3475,,
3/7/2012,41216209.05,8480684,644292.3988,,
3/8/2012,42209985.18,8576999,329878.0554,,
3/9/2012,39873289.36,8474681,211793.5598,,
3/10/2012,39654766.99,8593774,160089.0204,,
3/11/2012,41252995.49,8558695,195735.9693,,
3/12/2012,42274424.94,8481568,130978.3659,,
3/13/2012,43067706.76,8630630,959139.1192,,
3/14/2012,42077486.19,8521988,338687.5869,,
3/15/2012,42521658.76,8624803,238913.1325,,
3/16/2012,41784442.38,8595641,304850.642,,
3/17/2012,41842367.82,8657370,273921.0121,,
3/18/2012,42226775.78,8600158,197203.8131,,
3/19/2012,41737075.54,8535102,360566.7772,,
3/20/2012,45420907.36,8618768,381328.0337,,
3/21/2012,46277162.14,8601703,418287.8221,,
3/22/2012,46121255.52,8658732,209998.0682,,
3/23/2012,46401850.56,8683176,233715.5536,,
3/24/2012,44852640.30,8599214,234126.1924,,
3/25/2012,45353239.06,8590556,199851.5813,,
3/26/2012,40764531.29,8684576,179066.6925,,
3/27/2012,42027853.26,8687210,424852.2462,,
3/28/2012,41884968.53,8699068,388319.773,,
3/29/2012,40862227.22,8686144,270659.7801,,
3/30/2012,40788109.41,8704323,180280.8071,,
3/31/2012,40334904.79,8625942,295561.3601,,
4/1/2012,39640073.87,8712085,385410.2999,,
4/2/2012,40498291.74,8767553,208021.8516,,
4/3/2012,41800265.09,8688026,211384.4944,,
4/4/2012,41981557.46,8768078,297759.2482,,
4/5/2012,42209517.56,8778324,343837.2817,,
4/6/2012,42152879.52,8673432,275092.4518,,
4/7/2012,42731108.24,8705125,503937.5565,,
4/8/2012,42414684.88,8786966,332043.8199,,
4/9/2012,43638399.17,8773301,173527.531,,
4/10/2012,43325751.18,8749142,211303.7772,,
4/11/2012,42765475.99,8709731,168707.845,,
4/12/2012,43309979.89,8804631,429667.3812,,
4/13/2012,43860340.72,8860836,280623.931,,
4/14/2012,41037924.67,8755411,526715.3611,,
4/15/2012,42179816.80,8801177,307333.7236,,
4/16/2012,43249431.00,8877305,192133.4341,,
4/17/2012,42514001.25,8789914,265360.2236,,
4/18/2012,43226227.98,8771734,405429.3215,,
4/19/2012,43461550.21,8834223,193357.1535,,
4/20/2012,43304115.36,8766033,320798.8501,,
4/21/2012,43541112.07,8778981,144153.0415,,
4/22/2012,44100302.88,8875229,473992.6569,,
4/23/2012,44067953.23,8935090,115156.2361,,
4/24/2012,44247794.60,8892474,295142.6573,,
4/25/2012,45356615.09,8862522,197759.3733,,
4/26/2012,45754705.27,8905748,540631.1796,,
4/27/2012,47890936.95,8951577,216979.5033,,
4/28/2012,47191749.27,8971679,254830.8571,,
4/29/2012,46111346.32,8861568,130216.5051,,
4/30/2012,44068166.99,8884729,118177.4879,,
5/1/2012,45275966.28,8880740,260382.7109,,
5/2/2012,45603574.60,8886433,376117.8796,,
5/3/2012,45375934.28,8901396,241496.8261,,
